web-scraper-order,web-scraper-start-url,house-link,house-link-href,house-price,house-addr,house-availability,house-size,house-rooms,house-desc,house-baths
1587215443-1074,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=8,,,,,,"59 a 97 
							
							m² techados",,,
1587215504-1761,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=3,,,,"Cerros de Camacho 208 -210, 
								 Santiago de Surco, Lima",,,,,
1587215100-75,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=36,,,,,,,,,4 Baños
1587215456-1158,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=7,,,"S/ 659,230",,,,,,
1587215370-221,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=14,,,,,Inmediata,,,,
1587215395-476,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=12,,,,,Agosto 2021,,,,
1587215456-1221,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=7,,,,,,"40 a 134 
							
							m² techados",,,
1587215244-133,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=24,,,,,,,,,2 Baños
1587215480-1560,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=5,,,,,,,,,1 Baño
1587215480-1453,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=5,,,"USD 315,736",,,,,,
